Id_Entidad;NIT:cv;Nombre;Depto;Municipio;Consecutivo
23300000;899999162:4;Agencia Logística de las Fuerzas Militares;00;000;00021
23500000;800215807:2;Instituto Nacional de Vías;00;000;02773
23700000;899999096:6;Instituto Caro y Cuervo;00;000;02520
23800000;899999069:7;Instituto Colombiano Agropecuario;00;000;02523
23900000;899999239:2;Instituto Colombiano de Bienestar Familiar;00;000;02526
24300000;830067892:2;Instituto Colombiano de Antropología e Historia;00;000;02524
24666000;891480035:9;Universidad Tecnológica de Pereira;00;000;03710
24800000;899999306:8;Departamento Administrativo del Deporte, la Recreación, la Actividad Física y el Aprovechamiento del Tiempo Libre;00;000;00568
25120000;892301483:2;Corporación Autónoma Regional del Cesar;00;000;00494
25200000;899999294:8;Servicio Geológico Colombiano;00;000;03438
25300000;899999004:9;Instituto Geográfico Agustín Codazzi;00;000;02660
25400000;899999092:7;E.S.E. Instituto Nacional de Cancerología;00;000;01468
25744000;892115314:9;Corporación Autónoma Regional de la Guajira;00;000;00481
25800000;860015971:2;Instituto Nacional para Ciegos;00;000;02774
25900000;899999403:4;Instituto Nacional de Salud;00;000;02772
26000000;860016627:8;Instituto Nacional para Sordos;00;000;02775
26141000;891180084:2;Universidad Surcolombiana;00;000;03709
26318000;891190346:1;Universidad de la Amazonía;00;000;03688
26525000;890680014:9;E.S.E. Sanatorio de Agua de Dios;00;000;01530
26668000;890205335:2;E.S.E. Sanatorio de Contratación;00;000;01531
26800000;899999034:1;Servicio Nacional de Aprendizaje;00;000;03439
26900000;899999007:0;Superintendencia de Notariado y Registro;00;000;03508
27017000;890801063:0;Universidad de Caldas;00;000;03685
27123000;891080031:3;Universidad Nacional de Córdoba;00;000;03705
27219000;891500319:2;Universidad del Cauca;00;000;03694
27400000;899999063:3;Universidad Nacional de Colombia;00;000;03704
27500000;899999124:4;Universidad Pedagógica Nacional;00;000;03706
27615000;891800330:1;Universidad Pedagógica y Tecnológica de Colombia;00;000;03707
27700000;860007538:2;Fondo Nacional del Café;00;000;03859
28000000;860016951:1;Club Militar de Oficiales;00;000;00416
28327000;891680089:4;Universidad Tecnológica del Chocó Diego Luis Córdoba;00;000;03711
28450000;892000757:3;Universidad de los Llanos;00;000;03690
29200000;860511071:6;Fondo Rotatorio del Ministerio de Relaciones Exteriores;00;000;02336
29566000;891410354:4;Corporación Autónoma Regional de Risaralda;00;000;00486
30300000;860007887:8;Artesanías de Colombia S.A.;00;000;00100
31200000;899999278:1;Corporación de la Industria Aeronáutica Colombiana S.A.;00;000;00510
31400000;899999068:1;Ecopetrol S.A.;00;000;01994
31500000;899999002:4;Empresa Colombiana de Productos Veterinarios S.A.;00;000;02055
32000000;860006543:5;Sociedad Hotelera Tequendama S.A.;00;000;03472
32100000;860016610:3;Interconexión Eléctrica S.A.;00;000;02813
32300000;899999044:3;Industria Militar;00;000;02512
32800000;899999143:4;Servicio Aéreo a Territorios Nacionales;00;000;03437
33800000;900002583:6;Radio Televisión Nacional de Colombia;00;000;03249
35923000;800175746:9;E.S.P. Empresa Urrá S.A.;00;000;02165
36400000;830001113:1;Imprenta Nacional de Colombia;00;000;02507
36900000;899999048:2;Instituto de Planificación y Promoción de Soluciones Energéticas para las Zonas no Interconectadas;00;000;02581
37000000;800194600:3;Corporación Colombiana de Investigación Agropecuaria- AGROSAVIA;00;000;00504
37217000;890800128:6;E.S.P. Central Hidroeléctrica de Caldas S.A.;17;001;00337
37352000;891200200:8;E.S.P. Centrales Eléctricas de Nariño S.A.;00;000;00340
37400000;890500514:9;E.S.P. Centrales Eléctricas de Norte de Santander S.A.;54;001;00341
37519000;891500025:2;E.S.P. Centrales Eléctricas del Cauca S.A.;00;000;00342
38218000;891190127:3;E.S.P. Electrificadora del Caquetá S.A.;00;000;02043
38541000;891180001:1;E.S.P. Electrificadora del Huila S.A.;00;000;02045
38750000;892002210:6;E.S.P. Electrificadora del Meta S.A.;00;000;02046
38873000;890701790:8;E.S.P. Electrificadora del Tolima S.A.  - En Liquidación;73;001;02047
38900000;890201230:1;E.S.P. Electrificadora Santander S.A.;68;001;02042
39291000;800033623:2;E.S.P. Empresa de Energía Eléctrica del Amazonas S.A - En Liquidación;91;000;02081
39305000;900042857:1;E.S.P. XM Compañía de Expertos en Mercados S.A.;00;000;01991
39363000;800052640:9;E.S.P. Empresa de Energía del Quindío S.A.;63;001;02079
39663000;890002899:2;Mercados de Armenia S.A. - En Liquidación;63;001;02973
39900000;829000127:4;Corporación Autónoma Regional del Río Grande de la Magdalena;00;000;00498
40600000;899999118:1;Caja de Retiro de las Fuerzas Militares;00;000;00272
40700000;899999073:7;Caja de Sueldos de Retiro de la Policía Nacional;00;000;00273
40800000;860021967:7;Caja Promotora de Vivienda Militar y de Policía;00;000;00274
41100000;860011153:6;Positiva Compañía de Seguros S.A.;00;000;03190
41200000;800149923:6;Banco de Comercio Exterior de Colombia S.A.;00;000;00175
41300000;899999284:4;Fondo Nacional del Ahorro;00;000;02317
41400000;899999316:1;Fondo Financiero de Proyectos de Desarrollo;00;000;02287
41500000;899999035:7;Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior;00;000;02527
41800000;860002400:2;La Previsora S.A. (Compañía de Seguros Generales);00;000;02878
42200000;860005216:7;Banco de la República;00;000;00176
43400000;860509022:0;Financiera de Desarrollo Nacional S.A.;00;000;02227
44200000;800096329:1;Financiera de Desarrollo Territorial S.A.;00;000;02228
44300000;860530751:7;Fondo de Garantías de Instituciones Financieras;00;000;02258
44400000;860402272:2;Fondo Nacional de Garantías S.A.;00;000;02320
44500000;800116398:7;Fondo para el Financiamiento del Sector Agropecuario;00;000;02327
44600000;860525148:5;Fiduciaria la Previsora S.A.;00;000;02224
44800000;830054060:5;Procolombia;00;000;02220
45200000;800225385:9;Arco Grupo Bancoldex S.A. Compañía de Financiamiento;00;000;02898
45500000;800171372:1;Fiduciaria Central S.A.;05;001;02222
45600000;800159998:0;Fiduciaria Agraria S.A.;00;000;02221
46400000;830018957:3;Fondo de Desarrollo para la Educación Superior;00;000;02250
46600000;800193354:1;Fondo Agropecuario de Garantías;00;000;02241
54617000;800194208:9;E.S.P. Gestión Energética S.A.;00;000;01940
60100000;800096329:1;Fideicomiso de Administración del Insfopal;00;000;02219
60400000;860024423:6;Fondo de Fomento Palmero;00;000;03860
60500000;860024423:6;Fondo de Estabilización de Precios para el Palmiste, Aceite de Palma y sus Fracciones;00;000;03861
60700000;830005370:4;Teveandina Ltda.;00;000;03574
61300000;800011991:3;Fondo para la Participación y el Fortalecimiento de la Democracia;00;000;02325
61600000;899999734:7;Patrimonio Autónomo de Pensiones del Fondo de Previsión Social del Congreso de la República;00;000;03148
62200000;891200373:3;Turnariño Ltda.;52;001;03622
62900000;800178148:8;Fiduciaria Colombiana de Comercio Exterior S.A.;00;000;02223
63100000;802007669:8;E.S.P. Transelca S.A.;00;000;01988
64200000;830053319:2;Fondo de Garantías de Entidades Cooperativas;00;000;02257
64500000;802011065:5;Instituto Tecnológico de Soledad Atlántico;00;000;02806
66500000;900034993:1;Comisión de Regulación de Energía y Gas;00;000;00440
67700000;830053043:5;Superintendencia de la  Economía Solidaria;00;000;03506
67800000;899999327:2;U.A.E. Fondo Nacional de Estupefacientes;00;000;02319
67900000;830059954:7;Consejo Nacional de Arquitectura;00;000;00453
68200000;890505046:6;Centro de Diagnóstico Automotor de Cúcuta Ltda.;00;000;00351
68500000;860008068:7;Fondo de Estabilización para las Exportaciones de Carne, Leche y sus Derivados;00;000;03862
69200000;860501199:7;Consejo Nacional Profesional de Economía;00;000;00454
69600000;800037800:8;Banco Agrario de Colombia;00;000;00174
69700000;860078308:9;Fondo de Estabilización de Precios del Algodón;00;000;03863
70300000;830040256:0;Hospital Militar Central;00;000;02449
71200000;899999734:7;Fondo de Previsión Social del Congreso de la República;00;000;02262
71500000;860525148:5;Fondo Nacional de Prestaciones Sociales del Magisterio;00;000;02321
72100000;800112806:2;Fondo de Pasivo Social de Ferrocarriles Nacionales de Colombia;00;000;02259
80200000;830065741:1;Auditoría General de la República;00;000;00164
80600000;860530751:7;Fondo de Emergencia Económica;00;000;02252
80800000;830053319:2;Fondo de Emergencia Económica - FOGACOOP;00;000;02253
81100000;830068074:9;Unidad de Información y Análisis Financiero;00;000;03666
81300000;830002894:8;Fondo Nacional del Tabaco;00;000;03864
81400000;800244322:6;Federación Nacional de Departamentos;11;000;02217
81500000;860042945:5;Central de Inversiones S.A.;00;000;00333
81600000;811021654:9;Internexa S.A.;00;000;02814
81700000;830079479:5;Computadores para Educar;00;000;00104
82200000;800231969:4;Caja de Compensación Familiar Campesina;00;000;00267
82300000;899999725:0;Tribunal Nacional de Ética Médica;00;000;03607
82400000;890303178:2;Fondo de Estabilización de Precios para los Azúcares Centrifugados, las Melazas Derivadas de la Extracción o del Refinado de Azúcar y los Jarabes de Azúcar;00;000;03865
82600000;830085129:7;Fondo Social de Vivienda de la Registraduría Nacional del Estado Civil;00;000;02337
82800000;800194719:0;Sociedad Geográfica de Colombia - Academia de Ciencias Geográficas;00;000;03470
82900000;819004318:6;E.S.E. Hospital Local Nueva Granada;47;000;01268
83000000;806007567:1;E.S.E. Hospital Local San Juan de Puerto Rico - Tiquisio;13;810;01276
83200000;800203228:6;Terminal de Transportes del Socorro S.A.;68;755;03568
83300000;800188021:4;Sociedad Terminal de Transporte Terrestre de Ipiales S.A.;52;356;03474
83400000;804017401:1;E.S.E. Hospital San Miguel - Santander;68;686;01418
83500000;846000678:2;E.S.E. Hospital María Angelines - Puerto Leguízamo;86;000;01295
84100000;810004090:1;Empresa Departamental para la Salud;17;000;02133
84200000;812002496:4;E.S.E. Camu del Municipio de La Apartada ;23;350;00652
84300000;814003182:9;E.S.E. Centro Hospital Luis Antonio Montero Potosí - Nariño;52;560;00838
84800000;834001300:5;Instituto Departamental del Deporte y la Recreación de Arauca;81;000;02639
84900000;822004534:1;Villavivienda;50;001;03755
85100000;814003370:7;E.S.E. Centro de Salud de Puerres;52;573;00715
85300000;811000741:1;Fondo de Vivienda de Interés Social Cisneros - En Liquidación;05;190;02269
85600000;816005795:1;Instituto de Desarrollo Municipal de Dosquebradas;66;170;02559
85700000;832001061:2;Junta Municipal de Deportes del Municipio de  Sesquilé;25;736;02844
85800000;844003225:6;E.S.E. Salud Yopal;85;001;01522
86200000;892001990:8;E.S.E. Hospital Nuestra Señora del Pilar de Medina;25;000;01318
86300000;829001846:6;E.S.E. Barrancabermeja;68;081;00642
86400000;800211333:5;Instituto de Deportes y Recreación de Yarumal;05;887;02551
86500000;810004450:8;E.S.P. Empresa de Servicios Públicos Domiciliarios de la Dorada;17;380;01805
86600000;826002060:8;E.S.E. Centro de Salud San Antonio - Socotá;15;755;00781
86800000;844003247:8;E.S.P. Empresa de Servicios Públicos Domiciliarios de Aguazul;85;010;01797
86900000;846001669:0;Centro de Salud Alcides Jiménez Puerto Caicedo;86;000;00362
87000000;811004865:4;Instituto del Deporte, la Recreación y el Aprovechamiento del Tiempo Libre -  Santo Domingo;05;690;02614
87200000;811032187:8;Empresa de Vivienda de Antioquia;05;000;02129
87500000;800256877:3;E.S.P. Empresa Oficial de Servicios Públicos de Jamundí S.A. - En liquidación ;76;364;01851
87700000;891408747:9;E.S.E. Hospital San José de Marsella;66;440;01400
87800000;815000427:8;Instituto Municipal de Deporte y Recreación de Ginebra;76;306;02681
87900000;809007043:3;E.S.P. Empresa Municipal de Natagaima;73;483;01845
88500000;816005958:3;Empresa Municipal de Vías - Belén de Umbría;66;088;02155
88700000;813007990:8;E.S.P. Aguas y Aseo de El Pital S.A.;41;548;01594
88800000;807003659:4;Instituto de Tránsito y Transporte de Los Patios;54;405;00566
88900000;806011087:1;E.S.E. Centro de Salud con Camas de la Cabecera Municipal de El Peñón;13;268;00694
89000000;822002858:3;Asociación de Municipios del Alto Ariari;50;001;00131
89100000;811012043:0;E.S.P. Aguas del Puerto S.A. - Puerto Berrío;05;579;01591
89200000;832006409:4;E.S.P. Empresa de Servicios Públicos Domiciliarios del Municipio de Pacho;25;513;01812
89300000;819004280:5;E.S.E. Centro de Salud Samuel Villanueva Valest - El Banco;47;245;00780
89400000;811028985:3;E.S.P. Retirar - El Retiro;05;607;01955
89600000;842000155:8;E.S.P. Empresa de Energía Eléctrica del Departamento del Vichada S.A.;99;000;01698
89700000;820000919:8;Instituto Departamental de Juventud y Deporte de Boyacá;15;000;02630
89800000;820002248:3;E.S.E. Centro de Salud - Ventaquemada;15;861;00830
89970221;823003543:7;Coveñas;70;221;00537
90000000;800055259:9;Corporación Prodesarrollo y Seguridad del Municipio de Girardot;25;307;00529
90300000;811015112:4;E.S.P. Empresas Públicas Municipales de Yolombó;05;890;01927
90400000;811006655:3;Instituto para el Deporte, la Educación Física y la Recreación de El Peñol;05;541;02783
90500000;846002309:9;E.S.E. Hospital Fronterizo - La Dorada;86;000;01191
90600000;813002497:5;E.S.E. Hospital San Francisco Javier del Municipio de Acevedo;41;006;01384
90700000;820003259:9;Empresa Constructora de Vivienda de Tunja;15;001;02058
90900000;820003291:5;E.S.E. Centro de Salud Rafael Salgado;15;442;00776
91000000;806007343:7;E.S.E. Hospital San Nicolás de Tolentino;13;549;01419
91100000;820002468:7;E.S.E. Puesto de Salud de Ciénega;15;189;01497
91500000;811031582:1;E.S.P. Aguas y Aseo de El Peñol;05;541;01593
91700000;806007813:7;E.S.E. Hospital Local San José de Achí;13;006;01275
91800000;800195132:2;Instituto Municipal del Deporte, la Recreación, el Aprovechamiento del Tiempo Libre, la Educación Extraescolar y Educación Física de Sibaté;25;740;02745
91900000;820003850:2;E.S.E. Santiago de Tunja;15;001;01535
92000000;826002852:4;E.S.E. Inés Ochoa Pérez - Tibasosa;15;806;01466
92100000;846000471:5;E.S.E. Hospital Sagrado Corazón de Jesús de la Hormiga;86;000;01367
92200000;820003619:7;E.S.E. Centro de Salud San Blas;15;808;00787
92400000;824000462:9;E.S.E. Hospital José Antonio Socarras Sánchez;20;443;01209
92500000;890326969:0;Instituto Colombiano de Ballet Clásico;76;000;02525
92600000;820004060:5;E.S.E. Centro de Salud de Sáchica;15;638;00717
92800000;809009742:2;Gestora Urbana de Ibagué;73;001;02373
92900000;804005555:5;Centro de Salud Santo Domingo Savio;68;255;00365
93100000;820003411:5;E.S.E. Centro de Salud - Cómbita;15;204;00687
93200000;826002601:2;E.S.E. Salud del Tundama;15;238;01515
93400000;824002226:6;E.S.P. Empresa de Acueducto, Alcantarillado y Aseo de Chimichagua ;20;175;01950
93500000;826002765:1;E.S.E Centro de Salud Santa Rita de Casia;15;810;03637
93600000;820002657:2;E.S.E. Prestadora de Servicios de Salud Gustavo Romero Hernández;15;804;01495
93700000;820003404:0;E.S.E. Centro de Salud de Motavita;15;476;00710
93900000;860020283:3;E.S.E. Hospital San José de Guaduas;25;000;01396
94000000;811007361:8;Instituto Municipal de Deporte y Recreación - El Retiro;05;607;02685
94200000;822004982:8;U.A.E. Unidad de Licores del Meta;50;000;03657
94300000;800207028:8;Instituto Municipal de Deporte, Recreación y Educación Física - Trujillo;76;828;02690
94500000;818001629:4;E.S.P. Empresa Distribuidora del Pacífico S.A.;00;000;01835
94600000;832006568:7;Catedral de Sal de Zipaquirá S.A. S.E.M.;25;899;00329
94900000;844003735:0;Instituto de Vivienda Municipal de Aguazul;85;010;02609
95100000;860530751:7;Fondo Bonos y Títulos Garantizados Ley 546 - FOGAFIN;00;000;02242
95200000;819000599:0;Asociación de Municipios de la Subregión de la Ciénaga Grande Santa Marta;47;001;00126
95300000;826002862:8;E.S.E Centro de Salud - Betéitiva;15;092;03633
95600000;899999156:1;E.S.E. Hospital San Antonio de Chía;25;000;01374
95700000;820002854:7;E.S.E. Centro de Salud Nuestra Señora de La Paz;15;580;00767
95800000;820003360:5;E.S.E. Centro de Salud de San José de Pare;15;664;00719
96000000;820003746:4;Instituto Municipal para la Cultura y el Turismo - Moniquirá;15;469;02755
96100000;806008930:5;E.S.E. Centro de Salud Con Camas de Montecristo;13;458;00695
96200000;830115297:6;Ministerio de Comercio, Industria y Turismo;00;000;02985
96300000;830115226:3;Ministerio del Trabajo;00;000;02998
96400000;830114475:6;Ministerio del Interior;00;000;02997
96500000;830115395:1;Ministerio de Ambiente y Desarrollo Sostenible;00;000;02984
96600000;820003876:3;E.S.E. Centro de Salud del Municipio de Sutamarchán;15;776;00733
96700000;844003266:8;Instituto de Desarrollo Urbano y Rural de Yopal;85;001;02561
96800000;834001482:7;E.S.E. Jaime Alvarado y Castilla - Arauca;81;001;01470
96900000;820003456:3;E.S.E. Centro de Salud las Mercedes de Caldas  - Boyacá;15;131;00753
97000000;820003431:1;E.S.E. Centro de Salud San Vicente Ferrer - Saboyá - Boyacá;15;632;00813
97200000;832006487:9;Centro Cultural Bacatá de Funza;25;286;00345
97400000;844002929:8;E.S.P. Empresa Municipal de Servicios Públicos de Trinidad;85;430;01848
97500000;820003533:3;E.S.E. Centro de Salud Fe y Esperanza - Soracá;15;764;00736
97600000;830121208:5;Fondo Nacional de Vivienda;00;000;02323
110505000;890900286:0;Departamento de Antioquia;05;000;00571
110808000;890102006:1;Departamento del Atlántico;08;000;00585
111313000;890480059:1;Departamento de Bolívar;13;000;00572
111515000;891800498:1;Departamento de Boyacá;15;000;00573
111717000;890801052:1;Departamento de Caldas;17;000;00574
111818000;800091594:4;Departamento del Caquetá;18;000;00586
111919000;891580016:8;Departamento del Cauca;19;000;00588
112020000;892399999:1;Departamento del Cesar;20;000;00589
112323000;800103935:6;Departamento de Córdoba;23;000;00575
112525000;899999114:0;Departamento de Cundinamarca;11;000;00576
112727000;891680010:3;Departamento del Chocó;27;000;00590
114141000;800103913:4;Departamento del Huila;41;000;00593
114444000;892115015:1;Departamento de la Guajira;44;000;00577
114747000;800103920:6;Departamento del Magdalena;47;000;00594
115050000;892000148:8;Departamento del Meta;50;000;00595
115252000;800103923:8;Departamento de Nariño;52;000;00578
115454000;800103927:7;Departamento del Norte de Santander;54;000;00596
116363000;890001639:1;Departamento del Quindío;63;000;00598
116666000;891480085:7;Departamento de Risaralda;66;000;00579
116868000;890201235:6;Departamento de Santander;68;000;00580
117070000;892280021:1;Departamento de Sucre;70;000;00581
117373000;800113672:7;Departamento del Tolima;73;000;00599
117676000;890399029:5;Departamento del Valle del Cauca;76;000;00600
118181000;800102838:5;Departamento de Arauca;81;000;00583
118585000;892099216:6;Departamento de Casanare;85;000;00587
118686000;800094164:4;Departamento del Putumayo;86;000;00597
118888000;892400038:2;Departamento del Archipiélago de San Andrés, Providencia y Santa Catalina;88;000;00584
119191000;899999336:9;Departamento del Amazonas;91;000;00582
119494000;892099149:0;Departamento del Guainía;94;000;00591
119595000;800103196:1;Departamento del Guaviare;95;000;00592
119797000;845000021:0;Departamento del Vaupés;97;000;00601
119999000;800094067:8;Departamento del Vichada;99;000;00602
120125040;832001465:4;E.S.E. Empresa Social del Estado Hospital San Antonio - Anolaima;25;000;00854
120150000;822006595:1;E.S.E. Empresa Social del Estado del Meta - Solución Salud;50;000;00853
120166440;816003542:4;Asociación de Entidades Públicas Casa de la Cultura - Marsella;66;440;00106
120176000;890399027:0;Beneficencia del Valle del Cauca;76;000;00204
120185000;844004197:2;E.S.E. Red Salud Casanare;85;000;01509
120197000;845000038:5;E.S.E. Hospital San Antonio;97;000;01370
120205000;890980040:8;Universidad de Antioquia;05;000;03683
120208000;800166803:2;Tribunal de Ética Médica del Atlántico;08;000;03606
120244000;825000140:6;E.S.E. Hospital San Lucas - El Molino;44;110;01415
120273000;800125697:2;E.S.E. Hospital Nelson Restrepo Martínez - Guayabal;73;055;00924
120305000;890980136:6;Politécnico Colombiano Jaime Isaza Cadavid;05;000;03185
120323000;812004130:3;Instituto Departamental de Deportes de Córdoba;23;000;02623
120341000;813005578:7;Instituto Departamental del Deporte y la Recreación;41;000;02638
120373000;800116719:8;E.S.E. Hospital Departamental Especializado Granja Integral - Lérida;73;000;01176
120473000;809706823:5;E.S.E. Hospital Departamental Reina Sofía de España - Lérida;73;000;01174
120476000;805027554:1;Rifas y Juegos del Valle Ltda.;76;000;03266
120544000;825000147:7;Hospital Armando Pabón López - Manaure;44;560;02445
120554000;807008857:9;E.S.E. Hospital Regional Norte;54;000;01355
120573000;809010915:1;E.S.P. Empresa Generadora del Tolima S.A.;73;000;01836
120608606;802001292:8;E.S.E. Hospital Local de Repelón;08;606;01247
120676000;890399010:6;Universidad del Valle;76;000;03699
120705000;890980058:1;Lotería de Medellín;05;000;00201
120773000;809002903:1;Tribunal Seccional de Ética Médica del Tolima;73;000;03608
120905000;811007127:0;Instituto Departamental de Deportes de Antioquia;05;000;02622
120968000;900006037:4;E.S.E. Hospital Universitario de Santander;68;000;01458
121068000;890211904:8;Tribunal de Ética Médica de Santander;68;000;03605
121105000;890905166:8;E.S.E. Hospital Mental de Antioquia - Homo;05;000;01299
121168000;890200500:9;E.S.E. Hospital Psiquiátrico San Camilo de Bucaramanga;68;000;01323
121170000;892280033:1;E.S.E. Hospital Regional - Sincelejo;70;000;01338
121270000;800191643:6;E.S.E. Hospital Regional San Marcos - Sucre;70;000;01335
121276000;890325989:3;Instituto Departamental de Bellas Artes;76;000;02617
121370000;890480113:1;E.S.E. Hospital Regional Nuestra Señora de las Mercedes - Corozal;70;000;01356
121376000;890399039:9;Biblioteca Departamental Jorge Garcés Borrero;76;000;00210
121447000;819004347:1;E.S.E. Hospital Local - Santa Bárbara de Pinto;47;000;01281
121468000;890205456:5;E.S.E. Hospital Integrado San Bernardo de Barbosa;68;077;01201
121470000;823000281:9;E.S.E. Hospital Santa Catalina de Sena de Sucre;70;771;01443
121508000;802011084:5;Instituto Departamental de Recreación y Deportes del Atlántico;08;000;02615
121568000;890202002:1;E.S.E. Hospital San Juan de Dios - Barichara;68;079;00997
121570000;823000624:1;E.S.E. Hospital Local Nivel I Nuestra Señora del Socorro - Sincé;70;742;01267
121576000;800086201:5;Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca;76;000;02793
121647000;891780111:8;Universidad del Magdalena;47;000;03695
121705000;890905419:6;Tecnológico de Antioquia;05;000;03540
121708000;890102257:3;Universidad de Atlántico;08;000;03684
121947000;819001269:1;E.S.E. Hospital de Chibolo;47;000;01128
121981000;900034608:9;U.A.E. De Salud de Arauca;81;000;03648
122025000;890680033:9;E.S.E. Hospital Marco Felipe Afanador de Tocaima;25;000;01294
122125000;899999032:5;E.S.E. Hospital Universitario de La Samaritana;11;000;01455
122168000;890204581:3;Hospital San Roque - Chima;68;176;02454
122176000;890303461:2;E.S.E. Hospital Universitario del Valle Evaristo García;76;000;02457
122350000;892000563:1;Instituto de Turismo del Meta;50;000;02600
122368000;890203551:8;E.S.E. Hospital San Rafael de Concepción;68;207;01424
122376000;890399047:8;E.S.E. Hospital Departamental Mario Correa Rengifo - Cali;76;000;00868
122381000;900034131:8;E.S.E. Departamental de Primer Nivel;81;000;00848
122425000;832001411:7;E.S.E. Hospital San Rafael  - Cáqueza;25;000;01037
122476000;890304155:8;E.S.E. Hospital Psiquiátrico Universitario San Isidro - Cali;76;000;01324
122547000;819001302:5;E.S.E. Hospital Local de Tenerife;47;000;01254
122568000;890202024:3;E.S.E. Hospital San Juan de Dios de Floridablanca;68;000;01410
122613000;890480123:5;Universidad de Cartagena;13;000;03686
122647000;800130625:2;E.S.E. Hospital San Cristóbal - Ciénaga;47;000;00974
122725000;860024766:7;E.S.E. Hospital San Martín de Porres - Chocontá;25;000;01024
122747000;800154347:3;E.S.E. Hospital la Candelaria - El Banco;47;000;00899
122768000;890203242:7;E.S.E. Clinica Girón;68;307;01412
122776000;891900343:6;E.S.E. Hospital San Antonio - Roldanillo (Valle);76;000;00963
122781000;800218979:4;E.S.E. Hospital San Vicente - Arauca;81;001;01059
122847000;819001107:5;Hospital Alejandro Maestre - El Dificil (Ariguani);47;000;02430
122868000;890205627:8;E.S.E. Hospital Santa Ana;68;318;01441
122925000;899999151:3;E.S.E. Hospital San Rafael - Facatativá;25;000;01035
122947000;891780008:0;E.S.E. Hospital San Rafael - Fundación;47;000;01038
122976000;891901158:4;E.S.E. Hospital Tomás Uribe Uribe - Tuluá;76;000;01453
123047000;819002534:1;E.S.E. Hospital Nuestra Señora del Carmen - Guamal;47;000;00931
